,date,time,Object id,Class_type,Class-likelihood,X,Y
291,27-04-2023,120943,10221,Person,0.20999999344348907,598,396
292,27-04-2023,120943,10222,Person,0.8600000143051147,173,89
293,27-04-2023,120943,10223,Person,0.9200000166893005,259,77
294,27-04-2023,120943,10229,Person,0.1899999976158142,701,280
295,27-04-2023,120943,10230,Person,0.3499999940395355,155,62
296,27-04-2023,120944,2,Person,0.949999988079071,251,388
297,27-04-2023,120944,9924,Person,0.6399999856948853,121,382
298,27-04-2023,120944,10199,Person,0.27000001072883606,226,442
299,27-04-2023,120944,10221,Person,0.1899999976158142,598,397
300,27-04-2023,120944,10222,Person,0.7300000190734863,157,85
301,27-04-2023,120944,10223,Person,0.9100000262260437,233,79
302,27-04-2023,120944,10229,Person,0.27000001072883606,700,278
303,27-04-2023,120944,10230,Person,0.3499999940395355,155,62
304,27-04-2023,120944,10231,Person,0.9599999785423279,421,57
305,27-04-2023,120944,2,Person,0.9399999976158142,251,388
306,27-04-2023,120944,9924,Person,0.6399999856948853,122,382
307,27-04-2023,120944,10199,Person,0.20000000298023224,228,442
308,27-04-2023,120944,10221,Person,0.23000000417232513,598,396
309,27-04-2023,120944,10222,Person,0.7300000190734863,157,85
310,27-04-2023,120944,10223,Person,0.5600000023841858,209,84
311,27-04-2023,120944,10229,Person,0.33000001311302185,700,280
312,27-04-2023,120944,10230,Person,0.3100000023841858,155,63
313,27-04-2023,120944,10231,Person,0.9900000095367432,403,62
314,27-04-2023,120945,2,Person,0.949999988079071,251,387
315,27-04-2023,120945,9924,Person,0.6499999761581421,121,383
316,27-04-2023,120945,10199,Person,0.23999999463558197,227,442
317,27-04-2023,120945,10221,Person,0.25999999046325684,597,397
318,27-04-2023,120945,10222,Person,0.7300000190734863,157,85
319,27-04-2023,120945,10223,Person,0.9100000262260437,186,87
320,27-04-2023,120945,10229,Person,0.4000000059604645,699,281
321,27-04-2023,120945,10230,Person,0.3100000023841858,155,64
322,27-04-2023,120945,10231,Person,0.9900000095367432,398,65
323,27-04-2023,120945,2,Person,0.9599999785423279,251,388
324,27-04-2023,120945,9924,Person,0.6100000143051147,121,382
325,27-04-2023,120945,10199,Person,0.23999999463558197,227,442
326,27-04-2023,120945,10221,Person,0.30000001192092896,597,396
